8564967188470558698 False 6.9141387939453125e-06 pcputimes(user=0.08, system=0.0, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
7103721365071773597 False 1.0251998901367188e-05 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
6101471762554816824 False 9.059906005859375e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
6917096854676860143 False 9.298324584960938e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
7869833660796949067 False 1.1205673217773438e-05 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
1430880564554075553 False 9.298324584960938e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
4241809372557546152 False 8.821487426757812e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
7995911120884945598 False 8.821487426757812e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
7871695110445428514 False 9.059906005859375e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
3420294396237005550 False 8.58306884765625e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
5972502794747088226 False 8.344650268554688e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2374003132741217365 False 9.059906005859375e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
4628105096569514583 False 9.059906005859375e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
7959843487699385287 False 8.869171142578125e-05 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
730406103080152015 False 9.5367431640625e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2444086543232740799 False 7.963180541992188e-05 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2779760811019705019 False 1.049041748046875e-05 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
8549164241128355180 False 1.0013580322265625e-05 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
8879465163201998471 False 1.0967254638671875e-05 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
67508926618993468 False 9.298324584960938e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
8073254906593913393 False 1.0013580322265625e-05 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
3455705559173713549 False 9.775161743164062e-06 pcputimes(user=0.1, system=0.01, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
3199949077066308446 False 8.58306884765625e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
366782505441813724 False 7.867813110351562e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
1999098422408286546 False 6.4373016357421875e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
90283486411102819 True 0.00038170814514160156 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
9214447648508815906 False 9.298324584960938e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
1517183759558741348 False 8.58306884765625e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
253059788860805654 False 8.344650268554688e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
4790313928112694138 False 9.298324584960938e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
1792805777855378356 False 6.198883056640625e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2668043876291953040 False 9.059906005859375e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2423490121332645385 False 9.5367431640625e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
472078126236875991 False 9.5367431640625e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
188276162040379587 False 9.059906005859375e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
7808593373786235304 False 8.58306884765625e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
4619251432585755710 False 8.106231689453125e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
5255413152007307533 False 1.1444091796875e-05 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
4878182523866529994 False 6.9141387939453125e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
870046226486161554 False 8.344650268554688e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
4071947352669293141 False 1.0013580322265625e-05 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
6451309344156555273 False 6.9141387939453125e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
214237283796602210 False 8.58306884765625e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
8826272865076423759 False 1.0967254638671875e-05 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
3484767428860694314 False 8.344650268554688e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
983649996667272220 False 8.58306884765625e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
7094488755454382124 False 8.821487426757812e-06 pcputimes(user=0.1, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
8917307773249645314 False 8.344650268554688e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
7748789838889768690 False 8.344650268554688e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
4505929458341398816 False 8.821487426757812e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
6966714253664802453 False 8.58306884765625e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
553127043327386169 False 8.821487426757812e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2241499995879473962 False 8.106231689453125e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
3677090799805868439 False 9.775161743164062e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
1571735349961374948 False 8.344650268554688e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
8511501634016998264 False 8.106231689453125e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
7936195755246105022 False 8.344650268554688e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
6025400999086175548 False 6.4373016357421875e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
1886453410602032497 False 9.489059448242188e-05 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2048396090712651114 False 5.9604644775390625e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2901835107980366891 False 6.67572021484375e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
6607844871204655306 False 4.76837158203125e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
3672034666281170415 False 6.4373016357421875e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
3166130800208864560 False 5.4836273193359375e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
458755238715461650 False 4.291534423828125e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
6816045511721702769 False 4.5299530029296875e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
8138344564052768056 False 4.0531158447265625e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
287174137309072711 False 5.745887756347656e-05 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
8605158801503474075 False 5.245208740234375e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
8974133850627137408 False 3.814697265625e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
7831781329069000380 False 4.291534423828125e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
1875033530168241558 False 3.814697265625e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
2720855420750758979 True 0.0002796649932861328 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
3385151753513433959 False 9.775161743164062e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
3051103188710457173 False 0.0001125335693359375 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
7351849054441591298 False 9.775161743164062e-06 pcputimes(user=0.11, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16568320, vms=63594496, shared=8376320, text=3817472, lib=0, data=7794688, dirty=0)
